surname,given_name,gender,height,weight,dob,eye_color,hair_color
Fletcher,Cecile,f,58,129,1953-05-03,Brown,Black
Bray,Bradly,m,67,150,1955-04-16,Blue,Brown
Mercer,Jeff,m,59,120,1992-07-29,Brown,Black
Escobar,Marilynn,f,64,143,1944-10-09,Brown,Red
Velez,Lynette,f,71,144,1946-09-11,Hazel,Brown
Rodriguez,Vaughn,m,67,123,1956-10-10,Brown,Black
Myers,Teresita,f,70,169,1942-04-09,Blue,Blond
Whaley,Chris,o,72,177,1994-07-08,Brown,Black
Rich,Dylan,m,70,149,1941-01-28,Hazel,Brown
Serrano,Rickey,m,60,110,1957-01-19,Brown,Brown
Randolph,Madonna,f,67,145,1984-04-20,Blue,Brown
Beard,Sue,f,62,111,1982-02-14,Hazel,Black
Hilton,Andreas,m,71,153,1999-05-01,Brown,Blond
Finch,Morton,m,64,123,1981-11-04,Blue,Blond
Flowers,Rosetta,f,58,115,1991-03-01,Brown,Black
